"","comicName","comicSummary","comicGrade"
"152","나주금입니다(너에게만 보이는)","유령의 상냥한 위로","9.88"
"153","ㅎㅋ고모리","은둔형 외톨이인 모리의 성장일기","9.30"
"154","빅건맨","능력자 살인마","9.65"
"155","Jun과 나","실화에서 시작된 예대속 색있는 사람들의 색있는 이야기.","9.89"
"156","림딩동","캠퍼스 농구만화","9.74"
"157","츤데레","남정네 넷의 츤츤","9.87"
"158","뿌리네 이야기","매일 가족 명랑 만화","9.77"
"159","스타체이서","친구에게","9.87"
"160","사람사이","청춘들의 현실로맨스","9.55"
"161","누나 한입만화","4컷 일상 먹툰","9.90"
"162","공대생툰","공대생의 일상","9.78"
"163","환상여행","단편 모음집","9.90"
"164","용애어부가","용과 어부 사랑노래","9.93"
"165","디 언더사이즈드(THE UNDERSIZED)","고등학교농구부이야기","9.53"
"166","애쉬그레이","판타지","9.90"
"167","루텔","력家네","9.90"
"168","뫼비우스의 소설","오각관계 드라마","9.78"
"169","숲","사연을 그리는 만화","9.93"
"170","내 열정은 최고조!","한남자의 청춘속 열정적인 일상 에피소드","9.57"
"171","마이툰","두딸키우는 아재일상","9.67"
"172","사인검","액션활극 동양판타지","9.84"
"173","내 매력에 퐁당","내 매력에 퐁당!","9.68"
"174","우당탕탕 학교가자!","본격! 여고생툰","9.75"
"175","텃밭부 사건일지","명랑쾌활 살인추리극","9.87"
"176","헬로사이공","따뜻한 이야기들","9.88"
"177","뱀파이어클럽의 혈투","뱀파이어클럽의 혈투","8.82"
"178","날것","해묵은 그림 일기장","8.41"
"179","에밀리 이야기","어딘지 학교가 익숙하지 않은 에밀리의 학교적응 이야기","9.78"
"180","괜찮아, 고3이야","너와나의 리얼고3툰","9.91"
"181","불러줘 내 이름만","캠퍼스 로맨스","9.88"
"182","탑코너","고교 축구드라마","8.82"
"183","술타는청춘","청춘들의 개그 일상","9.70"
"184","갓도령스","꽃도령아이돌 로맨스","9.89"
"185","캐세랑세라","디스 이즈 러브!","9.92"
"186","식빵고양이 파운드캣","식빵을 닮은 고양이","9.92"
"187","후덜덜덜 남극전자","즐거운 회사생활","9.84"
"188","주근깨 가쵸","의도치 않은 모험","9.72"
"189","웃지않는 여자","뒤엉킨 과거","9.80"
"190","B와 당신","흡혈귀 여자친구","9.62"
"191","우리 집에 최애캐!","최애캐와 동거하자!","9.76"
"192","이과지옥","이과 발암만화","9.78"
"193","베이퍼 정키스","퓨처 느와르","9.31"
"194","상실의 계절","소프트 BL","9.72"
"195","라스오브이블","2차 세계대전 SF","9.57"
"196","압락사스","살인자 vs 사이비","9.69"
"197","도도도","도도의 이야기","9.81"
"198","살문 (殺門)","살인과 관상","9.68"
"199","우리에게 내일은","SF판타지 액션활극","9.54"
"200","빌린 몸","두근두근 순정만화","9.83"
"201","신선비","한 뱀신랑의 이야기","9.89"
"202","달무리의 밤","고려시대 사랑이야기","9.78"
"203","왕립 루브리카 종합학원","판타지학원물","9.91"
"204","울트라 바이올렛","공대생vs뱀파이어","9.83"
"205","광고감독의 발암일기","광고감독의 웃픈일상","9.73"
"206","숲속의 성","허기, 혹은 사랑","9.86"
"207","페카텀","신과 사제의 이야기","9.76"
"208","마녀가 잠든 사이에","마녀와 잔혹동화","9.86"
"209","비차의 캘리툰, 첫 단추","스무살, 첫 단추.","9.86"
"210","하필 너야?!","그녀와 그 고양이","9.76"
"211","노바","코지 미스테리 로판","9.89"
"212","은하!","정 식 연 재","9.88"
"213","전지적귀신시점","귀신만화.","9.89"
"214","플래닛자이언","월드와이드 SF극화","9.39"
"215","그래도 같이살자","고양이 일상툰","9.88"
"216","십장르","너 장르가 뭐야?","8.36"
"217","슬기는 슬기를 싫어해!","두소녀의 성장드라마","9.53"
"218","오늘은 꼭 고백할 거야!","두 남자의 고백공략","9.92"
"219","사귀자","웹툰작가와 귀신 팬","9.87"
"220","아더의왕국","왕국의 주인은?","9.89"
"221","(구) 여우야 여우야","여우와 친구들","9.76"
"222","1인칭 외국인 시점","프랑스 관찰일기","9.89"
"223","컬러풀 아이덴티티","패션디자인 학원물","9.64"
"224","젤리빈 하우스","신비의 보석 젤리빈,그리고 한 명의 마법사.","9.81"
"225","투애니스(20's)","레스토랑 드라마","9.53"
"226","잉여특공대","고딩-슈퍼히어로맨스","9.91"
"227","슈퍼캣","거대고양이 등장!!","9.61"
"228","킬링타임","과거를 죽여라","9.83"
"229","과한가족","조금 과한 그들","9.92"
"230","성장통 소나타","예체능 로맨스","9.89"
"231","라라의 조그만 작업실","미니어쳐만드는만화","9.79"
"232","모브","2097년 드라마","9.87"
"233","이오타","케이 아이가 만났다","9.24"
"234","너에게나를던진다","아재&고딩의 성장기","9.53"
"235","초인의시대","지구를 지키는 초인","9.61"
"236","악마의 레시피","악마와계약한파티시에","9.67"
"237","대작으로 가는 길","사신소년","9.87"
"238","물레","대학 공감청춘 만화","9.50"
"239","이웃집 유부녀","유부녀의 일상 기록","9.90"
"240","오늘의하루","친구들이야기","9.88"
"241","개인적인택시","음악이 흐르는 택시","9.93"
"242","먼데이블루스","프리랜서와 직장인.","8.76"
"243","카이코","국제 연애 로맨스","9.93"
"244","결혼 후, 보통의 삶","묘한 중독 짱매의 매일매일","9.91"
"245","지금만큼은","시공간초월로맨스","9.92"
"246","아싸가 알아버렸다","아싸탈출 도전기","9.48"
"247","판타지 여동생!","게임판타지","9.50"
"248","스물 다섯, 어디로 가야 하죠?","이젠 심지어 스물 여섯","9.87"
"249","오무라이스 프로젝트","다함께 오무라이스!","9.83"
"250","코스믹 코믹스","우주 만화","9.89"
"251","시선스틸러","관심받고싶은이야기","9.63"
"252","in",".","9.23"
"253","엑스텐","매주 토요일 연재","9.86"
"254","미르신화전기","인류의 파멸을 막아라","9.86"
"255","해바라기 하나","헤어디자이너 해꽃님","9.87"
"256","남동생과 누나","남매 일상","9.84"
"257","미스터 신데렐라","신데렐라가 남자라면","9.89"
"258","그 세계의 공주님","모험판타지","9.87"
"259","Bugs","이 곳은 모든 것이 빛으로 이뤄진 공간","9.66"
"260","OO마트에 놀러오세요.","마트 직원 하나씨","9.79"
"261","악취","악의 냄새","9.77"
"262","시월이툰","반려견 개그+공감툰","9.93"
"263","자유의 경계","감옥스릴러","9.86"
"264","도사님 도사님","사주 드라마","9.53"
"265","달콩달콩 일상","바카와 호두","9.83"
"266","달을 그리는 숲","판타지 사극","9.83"
"267","기코툰","그냥 다 죽자","8.08"
"268","악마소녀","악마소녀","9.65"
"269","新조선왕조실록","조선왕조인계자이야기","9.84"
"270","11me (열하나)","잘생긴 내가 11명","9.85"
"271","좋은날","학원로맨스","9.86"
"272","블랙옐로","완결은 팬카페에","9.01"
"273","치와와의 오후","알콩달콩 연애툰","9.90"
"274","사랑이올까요","과연 사랑이 올까요","9.59"
"275","가타부타타","이래저래 가타부타","9.86"
"276","즐거운생활","재주의 사회생활.","8.04"
"277","9등급 뒤집기","수능 대박 프로젝트","8.57"
"278","낭떠러지 밖으로 점프","뭔가 이상한 아파트","9.77"
"279","음대놈들","음대생들의 일상","9.91"
"280","나의 일본인 친구","일본에서의 인연","9.85"
"281","결혼생활 그림일기","스펙타클 결혼생활","9.91"
"282","이 또한 지나갈까?","제품 개발자 이야기","8.92"
"283","루커피쳐","PICTURE","9.92"
"284","^-^ (캐럿하이픈캐럿)","캐하캐","9.44"
"285","머리카락을 뽑으면","미스터리 학원추리물","9.80"
"286","나만 아는 사랑","짝사랑 로맨스","9.85"
"287","주말엔 보랏빛 향기","성우지망생의 주말","9.77"
"288","지켜라!여의주!","그녀의비밀을지켜줘!","9.71"
"289","합법해적 파르페","공주님은 해적.","9.94"
"290","사랑하는 제자들","나갈 수 없는 학교","9.84"
"291","결혼은 싫어","독신주의자에게 나타난 신랑감들","9.73"
"292","일단은 프리터 입니다.","프리터족 이야기.","9.79"
"293","메이커","뭐든지 만든다.","9.77"
"294","교환일기","왕따소녀의 교환일기","9.65"
"295","어디사세요?","맞춤형아파트프로젝트","9.88"
"296","시선이 교차하는 곳","과거와 미래를 보다","9.92"
"297","시선의차이","변화하는 고교생활","9.36"
"298","인생맛집","주관적인 맛집이야기","9.90"
"299","인어를 위한 수영교실","성장 로맨스","9.94"
"300","병","소년에서 군인으로","9.78"
"301","B텐더","술과 사람의 이야기","9.79"
"302","세이의 RPG","게임 판타지","9.73"
"303","그의 박물관엔 수상한 미라가 있다.","고고학 로맨스","9.89"
"304","찌질라이프","찌질 라이프","9.37"
"305","버티고","버티고","9.71"
"306","불릿 6미리","에어소프트건서바이벌","9.72"
"307","용사를 물리쳐라!","용사를 물리쳐라!","9.90"
"308","나라면 절대 안그래","나라면 절대 안그래","9.50"
"309","가려진 대화","익명으로 보는 내면","9.88"
"310","예서중 유나!","예서중1학년 유나♡","9.37"
"311","힘내라 봉산댁!","촌에도 청춘은 있다!","9.90"
"312","고향집","아늑하고 편안해야할","9.83"
