"","grade","review"
"69","1"," 
                                            망상.  죄책감이 없는. 살인. 무엇인 진실을 말하는지 잘 모르겠다.잔인하고 끔찍하며 입장을 이해하기 어렵고보면서 불편함을 엄청 느끼며 영화 중간에 나온영화연기를 너무 잘해서 엄청 더 불편하고 보기 힘든영화였다.
                                        "
"70","1"," 
                                            .
                                        "
"71","9"," 
                                            
                                        "
"72","9"," 
                                            인간은 원래 악하다. 우리는 화를 누르는 사회화 과정이 되었기에 그걸 참고 살고 있는 것 일 뿐!비극적인 선택인 자살과 아서의 본능에 따라 움직이는 행동그것은 인간의 내면 바닥에 잠재되어 있는 마지막 본능의 같은 명령이다. 
                                        "
"73","10"," 
                                            연기가 진짜 미쳤다호아킨 피닉스 연기만 봐도 가치 있는 영화
                                        "
"74","9"," 
                                            범죄를 정당화 할려는 감독의 의도는 전혀 느낄 수 없었다.정신병을 가졌으나, 애초부터 선을 품고 꿈을 가진 나약하고 나약한 한 인간의 그 선의가 주변인들에게 그리고 사회에게 차곡차곡 부정당하다 악과 접하며 그렇게 새로운 자아와 만나고 결국엔 받아들이게 돼는...조커라는 빌런이 돼는 과정을 그린 영화일 뿐...그리고 그 만화적 존재의 기원에 대해 공감대를 준 호아킨 피닉스의 연기가 놀라웠다는 것...
                                        "
"75","7"," 
                                            <U+11A2>우울해진다ㆍ<U+11A2>조커가 될 수 밖에  없었던  이유를   느끼게한  <U+11A2>조커의 시각에서 바라본? 그러나  연령을 더 높였어야 했다  <U+11A2>
                                        "
"76","9"," 
                                            좋았어...
                                        "
"77","1"," 
                                            뭘 말하고싶은건지? 감동도 의미도 없었다
                                        "
"78","10"," 
                                            영화두시간동안 호아킨의 연기에 눈을 뗄스 없었다 변해가는 조커의 모습에 내내 눈물흘렸고 안타까워 가슴아팠다  이런영화 연기 또 볼수있을까요? 다시한번 보라가려힙니디 아 ..
                                        "
"79","9"," 
                                            씁쓸한 뒷맛. 마치 피비린내 같이. 그리고 이런 맛을 주는 영화는 생각할 여지를 준다. 그래서 좋다. 기생충 다음으로 본 영화가 조커인데 공교롭게도 두 영화 모두에게서 비슷한 뒷맛을 느끼게된다. 물론 조커쪽이 좀 더 피비린내에 가깝지만. 
                                        "
"80","9"," 
                                            호아킨 피닉스 연기 참 좋았어요.  학대  받고 소외된 사람이 어떻게 망가져 가는지 잘 보여줬어요.  코믹스의 고담시티가 배경이지만 실제 그러한 인물이 있을 듯해 편한 맘으로 보기가 힘들었어요.
                                        "
"81","10"," 
                                            영화는 그냥 영화다 사회의 연장선으로 보지마라 부적응자들아
                                        "
"82","1"," 
                                            근래 이런 돈아까운영화는 첨인듯... 
                                        "
"83","2"," 
                                            보라고 하기도 보지 말라고 하기도 두려운..그러나 ..글래디에이터에서 잠깐 본 배우가 이렇게 폭풍 성장한 걸 뒤늦게 깨닫게 해준 영화였다 
                                        "
"84","3"," 
                                            배우의 연기력은 말이 필요없이 좋았습니다.하지만 DC의 영화는 이제 걸러서 보지 말자는 말이 일행에게서 나왔습니다. DC Black? 영화사 뿐만 아니라 배급사에서도 다시 한 번 생각해 볼 문제가 아닐까.
                                        "
"85","1"," 
                                            애들볼까봐 무섭다 최악이다보기 좋은것만 담아도 부족한데 모방범죄를 할까봐 무섭다 사회가 미쳐가고있다배급사도 무슨생각으로 배급했을까?
                                        "
"86","10"," 
                                            진정한 배우~호아킨 피닉스~
                                        "
