"","평점","리뷰"
"94","10","코믹스영화는믿고거르는데이영화는다르다.2019년최고의영화가아닌가싶다"
"95","9",""
"96","10","좋아요"
"97","10",""
"98","0","네이버는1점부터줄수잇는데0점을줄수잇어서행복!오늘좋은하루입니다."
"99","9","뭐하나나무랄데없는완벽에가까운영화진한슬픔이다가오는현실,결국은환경이나를지배해버린,발버둥치는인간군상의고담시"
"100","10","완벽한영화음악,춤,연출,연기까지,편견없이보려고아무정보없이밨어요.근래최고의영화라고단언합니다."
"101","10","올드보이의최민식뺨칠정도의연기다.10/10"
"102","10","신기하다이영화지금껏네번봤는데도자꾸장면생각나고여운이길어또보고싶음.이번주에또보러가게될것같다.올해내가가장극장에서많이본영화.예술영화로서정말잘만들었다호아킨피닉스의아서일때연기와조커로바뀌었을때연기가자꾸생각난다"
"103","10","5일지나도문득생각나는영화는걸작이랬는데..1주일지나도계속생각난다."
"104","10","코믹스영화는믿고거르는데이영화는다르다.2019년최고의영화가아닌가싶다"
"105","9",""
"106","10","좋아요"
"107","10",""
"108","0","네이버는1점부터줄수잇는데0점을줄수잇어서행복!오늘좋은하루입니다."
"109","9","뭐하나나무랄데없는완벽에가까운영화진한슬픔이다가오는현실,결국은환경이나를지배해버린,발버둥치는인간군상의고담시"
"110","10","완벽한영화음악,춤,연출,연기까지,편견없이보려고아무정보없이밨어요.근래최고의영화라고단언합니다."
"111","10","올드보이의최민식뺨칠정도의연기다.10/10"
"112","10","신기하다이영화지금껏네번봤는데도자꾸장면생각나고여운이길어또보고싶음.이번주에또보러가게될것같다.올해내가가장극장에서많이본영화.예술영화로서정말잘만들었다호아킨피닉스의아서일때연기와조커로바뀌었을때연기가자꾸생각난다"
"113","10","5일지나도문득생각나는영화는걸작이랬는데..1주일지나도계속생각난다."
"114","10","코믹스영화는믿고거르는데이영화는다르다.2019년최고의영화가아닌가싶다"
"115","9",""
"116","10","좋아요"
"117","10",""
"118","0","네이버는1점부터줄수잇는데0점을줄수잇어서행복!오늘좋은하루입니다."
"119","9","뭐하나나무랄데없는완벽에가까운영화진한슬픔이다가오는현실,결국은환경이나를지배해버린,발버둥치는인간군상의고담시"
"120","10","완벽한영화음악,춤,연출,연기까지,편견없이보려고아무정보없이밨어요.근래최고의영화라고단언합니다."
"121","10","올드보이의최민식뺨칠정도의연기다.10/10"
"122","10","신기하다이영화지금껏네번봤는데도자꾸장면생각나고여운이길어또보고싶음.이번주에또보러가게될것같다.올해내가가장극장에서많이본영화.예술영화로서정말잘만들었다호아킨피닉스의아서일때연기와조커로바뀌었을때연기가자꾸생각난다"
"123","10","5일지나도문득생각나는영화는걸작이랬는데..1주일지나도계속생각난다."
"124","10","코믹스영화는믿고거르는데이영화는다르다.2019년최고의영화가아닌가싶다"
"125","9",""
"126","10","좋아요"
"127","10",""
"128","0","네이버는1점부터줄수잇는데0점을줄수잇어서행복!오늘좋은하루입니다."
"129","9","뭐하나나무랄데없는완벽에가까운영화진한슬픔이다가오는현실,결국은환경이나를지배해버린,발버둥치는인간군상의고담시"
"130","10","완벽한영화음악,춤,연출,연기까지,편견없이보려고아무정보없이밨어요.근래최고의영화라고단언합니다."
"131","10","올드보이의최민식뺨칠정도의연기다.10/10"
"132","10","신기하다이영화지금껏네번봤는데도자꾸장면생각나고여운이길어또보고싶음.이번주에또보러가게될것같다.올해내가가장극장에서많이본영화.예술영화로서정말잘만들었다호아킨피닉스의아서일때연기와조커로바뀌었을때연기가자꾸생각난다"
"133","10","5일지나도문득생각나는영화는걸작이랬는데..1주일지나도계속생각난다."
"134","10","코믹스영화는믿고거르는데이영화는다르다.2019년최고의영화가아닌가싶다"
"135","9",""
"136","10","좋아요"
"137","10",""
"138","0","네이버는1점부터줄수잇는데0점을줄수잇어서행복!오늘좋은하루입니다."
"139","9","뭐하나나무랄데없는완벽에가까운영화진한슬픔이다가오는현실,결국은환경이나를지배해버린,발버둥치는인간군상의고담시"
"140","10","완벽한영화음악,춤,연출,연기까지,편견없이보려고아무정보없이밨어요.근래최고의영화라고단언합니다."
"141","10","올드보이의최민식뺨칠정도의연기다.10/10"
"142","10","신기하다이영화지금껏네번봤는데도자꾸장면생각나고여운이길어또보고싶음.이번주에또보러가게될것같다.올해내가가장극장에서많이본영화.예술영화로서정말잘만들었다호아킨피닉스의아서일때연기와조커로바뀌었을때연기가자꾸생각난다"
"143","10","5일지나도문득생각나는영화는걸작이랬는데..1주일지나도계속생각난다."
"144","10","코믹스영화는믿고거르는데이영화는다르다.2019년최고의영화가아닌가싶다"
"145","9",""
"146","10","좋아요"
"147","10",""
"148","0","네이버는1점부터줄수잇는데0점을줄수잇어서행복!오늘좋은하루입니다."
"149","9","뭐하나나무랄데없는완벽에가까운영화진한슬픔이다가오는현실,결국은환경이나를지배해버린,발버둥치는인간군상의고담시"
"150","10","완벽한영화음악,춤,연출,연기까지,편견없이보려고아무정보없이밨어요.근래최고의영화라고단언합니다."
"151","10","올드보이의최민식뺨칠정도의연기다.10/10"
"152","10","신기하다이영화지금껏네번봤는데도자꾸장면생각나고여운이길어또보고싶음.이번주에또보러가게될것같다.올해내가가장극장에서많이본영화.예술영화로서정말잘만들었다호아킨피닉스의아서일때연기와조커로바뀌었을때연기가자꾸생각난다"
"153","10","5일지나도문득생각나는영화는걸작이랬는데..1주일지나도계속생각난다."
"154","10","코믹스영화는믿고거르는데이영화는다르다.2019년최고의영화가아닌가싶다"
"155","9",""
"156","10","좋아요"
"157","10",""
"158","0","네이버는1점부터줄수잇는데0점을줄수잇어서행복!오늘좋은하루입니다."
"159","9","뭐하나나무랄데없는완벽에가까운영화진한슬픔이다가오는현실,결국은환경이나를지배해버린,발버둥치는인간군상의고담시"
"160","10","완벽한영화음악,춤,연출,연기까지,편견없이보려고아무정보없이밨어요.근래최고의영화라고단언합니다."
"161","10","올드보이의최민식뺨칠정도의연기다.10/10"
"162","10","신기하다이영화지금껏네번봤는데도자꾸장면생각나고여운이길어또보고싶음.이번주에또보러가게될것같다.올해내가가장극장에서많이본영화.예술영화로서정말잘만들었다호아킨피닉스의아서일때연기와조커로바뀌었을때연기가자꾸생각난다"
"163","10","5일지나도문득생각나는영화는걸작이랬는데..1주일지나도계속생각난다."
"164","10","코믹스영화는믿고거르는데이영화는다르다.2019년최고의영화가아닌가싶다"
"165","9",""
"166","10","좋아요"
"167","10",""
"168","0","네이버는1점부터줄수잇는데0점을줄수잇어서행복!오늘좋은하루입니다."
