"","comicName","comicSummary","comicGrade"
"2015","목소리의 그늘","훈남 전문 성우들!","9.88"
"2016","서폿저택에 어서오세요","서폿만 사는 저택","9.84"
"2017","결혼하고 싶지 않았는데 못하게 되었다.","안하느냐 못했느냐","9.84"
"2018","당할연","당신도할수있다연애","7.26"
"2019","채똘일기","채똘일기","9.57"
"2020","매지컬팡","명랑만화 매지컬팡","9.90"
"2021","꿀렁한 하루","닥스훈트 영식과 도롯씌의 하루","9.60"
"2022","죽음과 동화","호러.판타지.로맨스","9.89"
"2023","나는 마요 집사로소이다","쉽지 않은 집사생활","9.91"
"2024","마법소년 근무일지","","9.72"
"2025","158동 진상부부","부부의 진짜 일상","9.11"
"2026","껌은 고양이 뇌로","고양이 성 탈출극","9.82"
"2027","충충의 하루","충충의 하루","9.63"
"2028","휴지통","잔부스러기같은 행복","9.87"
"2029","홍시관찰일기","아기를 싫어하던 여자가 아기를 낳았다!","9.84"
"2030","바다의 끝에는 언제나 그 아이들이 있었다.","섬에 남은 자매.","9.94"
"2031","가짜 좀비왕 4컷","일하기 싫은 가짜 좀비왕, 하루에 4컷만 완성하면 살아 남는다.","8.81"
"2032","블랙펄 : 둥근 창의 세계","돈이궁한 용병이야기","9.72"
"2033","무대에 서지 않지만 배우입니다","배우 지망생 이야기","9.86"
"2034","신과의 대화","특별한 능력의 소년과 특이한 사연의 소녀의 만남! 그 만남이 가져오는 다양한 사건들. 그리고 운명!","9.87"
"2035","나의 별에게","감성로맨스","9.92"
"2036","사랑을,너에게","학원성장물","9.90"
"2037","스투피즈","새내기 생활툰","9.93"
"2038","저주와 별가루","저주와 별가루","9.80"
"2039","목소리의 그늘","훈남 전문 성우들!","9.88"
"2040","서폿저택에 어서오세요","서폿만 사는 저택","9.84"
"2041","결혼하고 싶지 않았는데 못하게 되었다.","안하느냐 못했느냐","9.84"
"2042","당할연","당신도할수있다연애","7.26"
"2043","채똘일기","채똘일기","9.57"
"2044","매지컬팡","명랑만화 매지컬팡","9.90"
"2045","꿀렁한 하루","닥스훈트 영식과 도롯씌의 하루","9.60"
"2046","죽음과 동화","호러.판타지.로맨스","9.89"
"2047","나는 마요 집사로소이다","쉽지 않은 집사생활","9.91"
"2048","마법소년 근무일지","","9.72"
"2049","158동 진상부부","부부의 진짜 일상","9.11"
"2050","껌은 고양이 뇌로","고양이 성 탈출극","9.82"
"2051","충충의 하루","충충의 하루","9.63"
"2052","휴지통","잔부스러기같은 행복","9.87"
"2053","홍시관찰일기","아기를 싫어하던 여자가 아기를 낳았다!","9.84"
"2054","바다의 끝에는 언제나 그 아이들이 있었다.","섬에 남은 자매.","9.94"
"2055","가짜 좀비왕 4컷","일하기 싫은 가짜 좀비왕, 하루에 4컷만 완성하면 살아 남는다.","8.81"
"2056","블랙펄 : 둥근 창의 세계","돈이궁한 용병이야기","9.72"
