"","comicName","comicSummary","comicGrade"
"1766","저승파견고용직","기묘한 만화","9.92"
"1767","검은 늑대","검은 늑대","9.87"
"1768","제목이 7080 만화","7080 이야기","9.90"
"1769","하루와 모레","일상 이야기 :)","9.68"
"1770","올어바웃 You","봉카의 외노자인생","9.87"
"1771","오픈했어요 <매직컬 마카롱>","마카롱가게에서~","9.91"
"1772","나도 옷 잘 입고 싶다","패고의 패션만화","9.92"
"1773","외국 in 한국","영국인의한국생활","9.87"
"1774","중딩툰","중딩이 그리는 웹툰","9.46"
"1775","파리스의 선택","그리스 신화 회귀물","9.93"
"1776","아옹아옹","두식이 냥육일기","9.92"
"1777","A - STUDENT(모범생)","사악한 본성","9.83"
"1778","이브의 꿈속친구","꿈에서 만난 친구","9.77"
"1779","홈 스윗 홈","네식구 사는 이야기","9.85"
"1780","제 소원을 들어주세요!","중요한걸 잊고있었어","9.86"
"1781","헛어른","어른이라고 하기엔 아직 부족한 것 같고, 마냥 젊다고 하기엔 어느덧 적지 않은 나이. 그래서 때론 당황스럽기도 하고 서툴기도 한 우리들. ‘헛어른’은 그런 우리들의 이야기입니다.","9.85"
"1782","웰캄 투 실버라이프","할머니! 할아버지!","9.94"
"1783","선선한 이야기","프리랜선선","9.68"
"1784","일상견문록","다른나라 일상이야기","9.85"
"1785","아빠는 여섯 살","아빠 4컷 그림일기","9.94"
"1786","카나와 초나의 독일","독일 유학 생존기","9.89"
"1787","광해와 이순신","전쟁을 이긴 영웅들","9.60"
"1788","다 이아리","데이트폭력에 관하여","9.84"
"1789","식인귀","괴물이 보인다","9.77"
"1790","저승파견고용직","기묘한 만화","9.92"
"1791","검은 늑대","검은 늑대","9.87"
"1792","제목이 7080 만화","7080 이야기","9.90"
"1793","하루와 모레","일상 이야기 :)","9.68"
"1794","올어바웃 You","봉카의 외노자인생","9.87"
"1795","오픈했어요 <매직컬 마카롱>","마카롱가게에서~","9.91"
"1796","나도 옷 잘 입고 싶다","패고의 패션만화","9.92"
"1797","외국 in 한국","영국인의한국생활","9.87"
"1798","중딩툰","중딩이 그리는 웹툰","9.46"
"1799","파리스의 선택","그리스 신화 회귀물","9.93"
"1800","아옹아옹","두식이 냥육일기","9.92"
"1801","A - STUDENT(모범생)","사악한 본성","9.83"
"1802","이브의 꿈속친구","꿈에서 만난 친구","9.77"
"1803","홈 스윗 홈","네식구 사는 이야기","9.85"
"1804","제 소원을 들어주세요!","중요한걸 잊고있었어","9.86"
"1805","헛어른","어른이라고 하기엔 아직 부족한 것 같고, 마냥 젊다고 하기엔 어느덧 적지 않은 나이. 그래서 때론 당황스럽기도 하고 서툴기도 한 우리들. ‘헛어른’은 그런 우리들의 이야기입니다.","9.85"
"1806","웰캄 투 실버라이프","할머니! 할아버지!","9.94"
"1807","선선한 이야기","프리랜선선","9.68"
"1808","일상견문록","다른나라 일상이야기","9.85"
"1809","아빠는 여섯 살","아빠 4컷 그림일기","9.94"
"1810","카나와 초나의 독일","독일 유학 생존기","9.89"
"1811","광해와 이순신","전쟁을 이긴 영웅들","9.60"
"1812","다 이아리","데이트폭력에 관하여","9.84"
"1813","식인귀","괴물이 보인다","9.77"
"1814","저승파견고용직","기묘한 만화","9.92"
"1815","검은 늑대","검은 늑대","9.87"
"1816","제목이 7080 만화","7080 이야기","9.90"
"1817","하루와 모레","일상 이야기 :)","9.68"
"1818","올어바웃 You","봉카의 외노자인생","9.87"
"1819","오픈했어요 <매직컬 마카롱>","마카롱가게에서~","9.91"
"1820","나도 옷 잘 입고 싶다","패고의 패션만화","9.92"
"1821","외국 in 한국","영국인의한국생활","9.87"
"1822","중딩툰","중딩이 그리는 웹툰","9.46"
"1823","파리스의 선택","그리스 신화 회귀물","9.93"
"1824","아옹아옹","두식이 냥육일기","9.92"
"1825","A - STUDENT(모범생)","사악한 본성","9.83"
"1826","이브의 꿈속친구","꿈에서 만난 친구","9.77"
"1827","홈 스윗 홈","네식구 사는 이야기","9.85"
"1828","제 소원을 들어주세요!","중요한걸 잊고있었어","9.86"
"1829","헛어른","어른이라고 하기엔 아직 부족한 것 같고, 마냥 젊다고 하기엔 어느덧 적지 않은 나이. 그래서 때론 당황스럽기도 하고 서툴기도 한 우리들. ‘헛어른’은 그런 우리들의 이야기입니다.","9.85"
"1830","웰캄 투 실버라이프","할머니! 할아버지!","9.94"
"1831","선선한 이야기","프리랜선선","9.68"
"1832","일상견문록","다른나라 일상이야기","9.85"
"1833","아빠는 여섯 살","아빠 4컷 그림일기","9.94"
"1834","카나와 초나의 독일","독일 유학 생존기","9.89"
"1835","광해와 이순신","전쟁을 이긴 영웅들","9.60"
"1836","다 이아리","데이트폭력에 관하여","9.84"
"1837","식인귀","괴물이 보인다","9.77"
"1838","저승파견고용직","기묘한 만화","9.92"
"1839","검은 늑대","검은 늑대","9.87"
"1840","제목이 7080 만화","7080 이야기","9.90"
"1841","하루와 모레","일상 이야기 :)","9.68"
"1842","올어바웃 You","봉카의 외노자인생","9.87"
"1843","오픈했어요 <매직컬 마카롱>","마카롱가게에서~","9.91"
"1844","나도 옷 잘 입고 싶다","패고의 패션만화","9.92"
"1845","외국 in 한국","영국인의한국생활","9.87"
"1846","중딩툰","중딩이 그리는 웹툰","9.46"
"1847","파리스의 선택","그리스 신화 회귀물","9.93"
"1848","아옹아옹","두식이 냥육일기","9.92"
"1849","A - STUDENT(모범생)","사악한 본성","9.83"
"1850","이브의 꿈속친구","꿈에서 만난 친구","9.77"
"1851","홈 스윗 홈","네식구 사는 이야기","9.85"
"1852","제 소원을 들어주세요!","중요한걸 잊고있었어","9.86"
"1853","헛어른","어른이라고 하기엔 아직 부족한 것 같고, 마냥 젊다고 하기엔 어느덧 적지 않은 나이. 그래서 때론 당황스럽기도 하고 서툴기도 한 우리들. ‘헛어른’은 그런 우리들의 이야기입니다.","9.85"
"1854","웰캄 투 실버라이프","할머니! 할아버지!","9.94"
"1855","선선한 이야기","프리랜선선","9.68"
"1856","일상견문록","다른나라 일상이야기","9.85"
"1857","아빠는 여섯 살","아빠 4컷 그림일기","9.94"
"1858","카나와 초나의 독일","독일 유학 생존기","9.89"
"1859","광해와 이순신","전쟁을 이긴 영웅들","9.60"
"1860","다 이아리","데이트폭력에 관하여","9.84"
"1861","식인귀","괴물이 보인다","9.77"
"1862","저승파견고용직","기묘한 만화","9.92"
