"","title","review"
"81","82년생 김지영","억지스런 설정에지겨운 만류에질질질질끌어대면서장소만바꿔가며찍은위기극복장면들의나열로속도감없는전개에신파아닌척하는신파에그냥 전형적인 B급영화이런걸 굳이 왜 보러가는지도무지이해불가"
"82","람보 : 라스트 워","정부 지원금이 남아서 인더더스트를 배낀영화 끝."
"83","사자","와 대박 잼났어 긴장감도 있고 재미도 있고 신선한 영화!!"
"84","쥬라기 월드: 폴른 킹덤","다른 말 필요 읎고요. 이게 바로 한국에서 만든 영화다."
"85","스윗 프랑세즈","응!생각보다 웃겼어ㆍ볼만했어ㆍ가슴을 후벼판건 봉오동전투 좋았지ㆍ박진감ㆍ희열ㆍ우리조상 독립군들ㆍ액시트는 그냥 소소하게 시간떼우고 꽤나 흥미롭게 잼있게본 영화ㆍ주인공남자분 잘생겼든디 마누라가 거미라ㆍㆍ흠ㆍ스타일 특이하시네 하하하ㆍ거미는 얼굴상이 남자상인데ㆍ앗!죄송 얼굴비하하는건아닌데 거미는 외모가 남자상에 마녀상이라 좀 섬뜻한데 암튼 취향 특이하시네ㆍㆍ성격보신건가? 흠 ㆍㆍ외모보단 내적을 더 중시하는 나도 이해는감ㆍ남자배우 잘생기고 연기도 좋았음!"
"86","남과 여","한국의 주성치 조정석이 있다 !긴장감은 인정"
"87","죄 많은 소녀","생존자 두명이하는 파리목숨으로 여기나?드론도 금방 찾아내는데 헬기가 못찾아서 그렇게 뛰어갈 동안 구조하러 올 생각을 안하네.."
"88","라이온 킹","쓰레기 윤아?아이돌것들좀그만쳐나와라,영화베린다,"
"89","82년생 김지영","기대가 너무 컸던 것 같아"
"90","82년생 김지영","예고편 보고 너무 기대를 안해서 일까킬링타임용은 되는듯"
"91","82년생 김지영","좋았다"
"92","람보 : 라스트 워","아니 0점 주신분들 뭡니까10점은 줘야지"
"93","사자","시사회때 봤는데 신선하고 재밌었음"
"94","쥬라기 월드: 폴른 킹덤","재밌었음  !  외국진출해도 좋을듯"
"95","스윗 프랑세즈","노잼"
"96","남과 여","오버스럽지만 재미는 있어요."
"97","죄 많은 소녀","재미 있구만^^명품배우들 연기 때문에 영화가 살았다"
"98","라이온 킹",""
"99","82년생 김지영","신선하고 볼만함"
"100","82년생 김지영","하아  진짜 재미없는데요.하나도  안웃기고 한번도 웃은적없음.개연성도없고 일관성도없고 웃기지도않고 재미도없고 내용도없고  하아..."
"101","82년생 김지영","재미있네"
"102","람보 : 라스트 워","재미도 없어 긴장감도 그닥이야..제작비의 50%는 평점댓글 알바급여다. 이게 내 결론이다."
"103","사자","올해 본 영화 중 다섯손가락 안에 들겄네~"
"104","쥬라기 월드: 폴른 킹덤","긴장감 최고."
